geo_code,age_group,population
E07000029,5-9,3736.00
E07000029,10-14,3661.00
E07000029,15-19,3288.00
E07000029,20-24,3395.00
E07000029,25-29,4004.00
E07000029,30-34,3771.00
E07000029,35-39,3770.00
E07000029,40-44,3588.00
E07000029,45-49,4741.00
E07000029,50-54,5463.00
E07000029,55-59,5413.00
E07000029,60-64,4831.00
E07000029,65-69,4417.00
E07000029,70-74,4127.00
E07000029,75-79,2851.00
E07000029,80-84,2104.00
E07000029,85-89,1187.00
E07000029,90+,603.00
E07000029,All ages,68424.00
E07000030,0-4,2184.00
E07000030,5-9,2608.00
E07000030,10-14,2762.00
E07000030,15-19,2515.00
E07000030,20-24,2151.00
E07000030,25-29,2550.00
E07000030,30-34,2389.00
E07000030,35-39,2609.00
E07000030,40-44,2629.00
E07000030,45-49,3734.00
E07000030,50-54,4384.00
E07000030,55-59,4337.00
E07000030,60-64,3981.00
E07000030,65-69,3986.00
E07000030,70-74,3805.00
E07000030,75-79,2570.00
E07000030,80-84,1789.00
E07000030,85-89,1178.00
E07000030,90+,720.00
E07000030,All ages,52881.00
E07000031,0-4,4135.00
E07000031,5-9,4829.00
E07000031,10-14,5362.00
E07000031,15-19,5359.00
E07000031,20-24,4553.00
E07000031,25-29,4444.00
E07000031,30-34,4532.00
E07000031,35-39,5069.00
E07000031,40-44,5419.00
E07000031,45-49,7219.00
E07000031,50-54,8214.00
E07000031,55-59,8320.00
E07000031,60-64,7748.00
E07000031,65-69,7758.00
E07000031,70-74,8058.00
E07000031,75-79,5418.00
E07000031,80-84,4014.00
E07000031,85-89,2524.00
E07000031,90+,1557.00
E07000031,All ages,104532.00
E11000001,0-4,183692.00
E11000001,5-9,188451.00
E11000001,10-14,173422.00
E11000001,15-19,161110.00
E11000001,20-24,193586.00
E11000001,25-29,215938.00
E11000001,30-34,206178.00
E11000001,35-39,192026.00
E11000001,40-44,166582.00
E11000001,45-49,187385.00
E11000001,50-54,190072.00
E11000001,55-59,168875.00
E11000001,60-64,139914.00
E11000001,65-69,127679.00
E11000001,70-74,120332.00
E11000001,75-79,83152.00
E11000001,80-84,59807.00
E11000001,85-89,34861.00
E11000001,90+,19507.00
E11000001,All ages,2812569.00
E08000001,0-4,19294.00
E08000001,5-9,19976.00
E08000001,10-14,18349.00
E08000001,15-19,16614.00
E08000001,20-24,16401.00
E08000001,25-29,18634.00
E08000001,30-34,19452.00
E08000001,35-39,17905.00
E08000001,40-44,17007.00
E08000001,45-49,19887.00
E08000001,50-54,19986.00
E08000001,55-59,17776.00
E08000001,60-64,14971.00
E08000001,65-69,14082.00
E08000001,70-74,13638.00
E08000001,75-79,9369.00
E08000001,80-84,6325.00
E08000001,85-89,3715.00
E08000001,90+,1991.00
E08000001,All ages,285372.00
E08000002,0-4,11819.00
E08000002,5-9,12794.00
E08000002,10-14,12001.00
E08000002,15-19,10465.00
E08000002,20-24,9981.00
E08000002,25-29,12153.00
E08000002,30-34,12612.00
E08000002,35-39,12391.00
E08000002,40-44,11331.00
E08000002,45-49,13318.00
E08000002,50-54,13856.00
E08000002,55-59,12594.00
E08000002,60-64,10135.00
E08000002,65-69,9815.00
E08000002,70-74,9645.00
E08000002,75-79,6398.00
E08000002,80-84,4699.00
E08000002,85-89,2583.00
E08000002,90+,1518.00
E08000002,All ages,190108.00
E08000003,0-4,37768.00
E08000003,5-9,36333.00
E08000003,10-14,31354.00
E08000003,15-19,34860.00
E08000003,20-24,67607.00
E08000003,25-29,65456.00
E08000003,30-34,50663.00
E08000003,35-39,41267.00
E08000003,40-44,30548.00
E08000003,45-49,29498.00
E08000003,50-54,28390.00
E08000003,55-59,23704.00
E08000003,60-64,19212.00
E08000003,65-69,15835.00
E08000003,70-74,12754.00
E08000003,75-79,9038.00
E08000003,80-84,6925.00
E08000003,85-89,4006.00
E08000003,90+,2409.00
E08000003,All ages,547627.00
E08000004,0-4,16792.00
E08000004,5-9,17013.00
E08000004,10-14,16354.00
E08000004,15-19,14984.00
E08000004,20-24,14061.00
E08000004,25-29,15992.00
E08000004,30-34,16114.00
E08000004,35-39,15308.00
E08000004,40-44,13441.00
E08000004,45-49,15812.00
E08000004,50-54,15884.00
E08000004,55-59,14158.00
E08000004,60-64,11870.00
E08000004,65-69,10796.00
E08000004,70-74,10404.00
E08000004,75-79,7167.00
E08000004,80-84,4988.00
E08000004,85-89,2844.00
E08000004,90+,1641.00
E08000004,All ages,235623.00
E08000005,0-4,15123.00
E08000005,5-9,15466.00
E08000005,10-14,14315.00
E08000005,15-19,12727.00
E08000005,20-24,12991.00
E08000005,25-29,15104.00
E08000005,30-34,15074.00
E08000005,35-39,14561.00
E08000005,40-44,12937.00
E08000005,45-49,14868.00
E08000005,50-54,15120.00
E08000005,55-59,13784.00
E08000005,60-64,11988.00
E08000005,65-69,10791.00
E08000005,70-74,9637.00
E08000005,75-79,6543.00
E08000005,80-84,4608.00
E08000005,85-89,2815.00
E08000005,90+,1549.00
E08000005,All ages,220001.00
E08000006,0-4,17614.00
E08000006,5-9,16745.00
E08000006,10-14,14642.00
E08000006,15-19,13826.00
E08000006,20-24,18940.00
E08000006,25-29,23140.00
E08000006,30-34,22343.00
E08000006,35-39,18957.00
E08000006,40-44,14321.00
E08000006,45-49,15431.00
E08000006,50-54,15974.00
E08000006,55-59,14400.00
E08000006,60-64,11655.00
E08000006,65-69,10343.00
E08000006,70-74,9636.00
E08000006,75-79,6783.00
E08000006,80-84,5040.00
E08000006,85-89,2816.00
E08000006,90+,1802.00
E08000006,All ages,254408.00
E08000007,0-4,17631.00
E08000007,5-9,18484.00
E08000007,10-14,17562.00
E08000007,15-19,15037.00
E08000007,20-24,13534.00
E08000007,25-29,16992.00
E08000007,30-34,18295.00
E08000007,35-39,19360.00
E08000007,40-44,18134.00
E08000007,45-49,20618.00
E08000007,50-54,21375.00
E08000007,55-59,19776.00
E08000007,60-64,16913.00
E08000007,65-69,15535.00
E08000007,70-74,15142.00
E08000007,75-79,10843.00
E08000007,80-84,8387.00
E08000007,85-89,5322.00
E08000007,90+,2835.00
E08000007,All ages,291775.00
E08000008,0-4,14500.00
E08000008,5-9,14986.00
E08000008,10-14,13425.00
E08000008,15-19,12010.00
E08000008,20-24,12479.00
E08000008,25-29,15090.00
E08000008,30-34,15190.00
E08000008,35-39,14447.00
E08000008,40-44,13018.00
E08000008,45-49,15769.00
E08000008,50-54,16907.00
E08000008,55-59,15277.00
E08000008,60-64,12388.00
E08000008,65-69,11546.00
E08000008,70-74,11152.00
E08000008,75-79,7400.00
E08000008,80-84,5302.00
E08000008,85-89,2879.00
E08000008,90+,1432.00
E08000008,All ages,225197.00
E08000009,0-4,14701.00
E08000009,5-9,16663.00
E08000009,10-14,16174.00
E08000009,15-19,13156.00
E08000009,20-24,10431.00
E08000009,25-29,12690.00
E08000009,30-34,15094.00
E08000009,35-39,17198.00
E08000009,40-44,16659.00
E08000009,45-49,17631.00
E08000009,50-54,17335.00
E08000009,55-59,15387.00
E08000009,60-64,12473.00
E08000009,65-69,10935.00
E08000009,70-74,10362.00
E08000009,75-79,7488.00
E08000009,80-84,5932.00
E08000009,85-89,3829.00
E08000009,90+,2232.00
E08000009,All ages,236370.00
E08000010,0-4,18450.00
E08000010,5-9,19991.00
E08000010,10-14,19246.00
E08000010,15-19,17431.00
E08000010,20-24,17161.00
E08000010,25-29,20687.00
E08000010,30-34,21341.00
E08000010,35-39,20632.00
E08000010,40-44,19186.00
E08000010,45-49,24553.00
E08000010,50-54,25245.00
E08000010,55-59,22019.00
E08000010,60-64,18309.00
E08000010,65-69,18001.00
E08000010,70-74,17962.00
E08000010,75-79,12123.00
E08000010,80-84,7601.00
E08000010,85-89,4052.00
E08000010,90+,2098.00
E08000010,All ages,326088.00
E10000017,0-4,67104.00
E10000017,5-9,72975.00
E10000017,10-14,70383.00
E10000017,15-19,68286.00
E10000017,20-24,75967.00
E10000017,25-29,75375.00
E10000017,30-34,70409.00
E10000017,35-39,69545.00
E10000017,40-44,66587.00
E10000017,45-49,82520.00
E10000017,50-54,87375.00
E10000017,55-59,82867.00
E10000017,60-64,72016.00
E10000017,65-69,69310.00
E10000017,70-74,68261.00
E10000017,75-79,46331.00
E10000017,80-84,33734.00
E10000017,85-89,19817.00
E10000017,90+,11191.00
E10000017,All ages,1210053.00
E07000117,0-4,5953.00
E07000117,5-9,6028.00
E07000117,10-14,5573.00
E07000117,15-19,4738.00
E07000117,20-24,4831.00
E07000117,25-29,5700.00
E07000117,30-34,6087.00
E07000117,35-39,5413.00
E07000117,40-44,5142.00
E07000117,45-49,5759.00
E07000117,50-54,5989.00
E07000117,55-59,5749.00
E07000117,60-64,5143.00
E07000117,65-69,4802.00
E07000117,70-74,4623.00
E07000117,75-79,2913.00
E07000117,80-84,2065.00
E07000117,85-89,1258.00
E07000117,90+,761.00
E07000117,All ages,88527.00
E07000118,0-4,6439.00
E07000118,5-9,7117.00
E07000118,10-14,6803.00
E07000118,15-19,5714.00
E07000118,20-24,5575.00
E07000118,25-29,6824.00
E07000118,30-34,7606.00
E07000118,35-39,7410.00
E07000118,40-44,7433.00
E07000118,45-49,8938.00
E07000118,50-54,8980.00
E07000118,55-59,8033.00
E07000118,60-64,6934.00
E07000118,65-69,6666.00
E07000118,70-74,6752.00
E07000118,75-79,4349.00
E07000118,80-84,2828.00
E07000118,85-89,1553.00
E07000118,90+,867.00
E07000118,All ages,116821.00
E07000119,0-4,3329.00
E07000119,5-9,4137.00
E07000119,10-14,4222.00
E07000119,15-19,3777.00
E07000119,20-24,3119.00
E07000119,25-29,3611.00
E07000119,30-34,3922.00
E07000119,35-39,4156.00
E07000119,40-44,4067.00
E07000119,45-49,5367.00
E07000119,50-54,6276.00
E07000119,55-59,6421.00
E07000119,60-64,5642.00
E07000119,65-69,5490.00
E07000119,70-74,5927.00
E07000119,75-79,4100.00
E07000119,80-84,3128.00
E07000119,85-89,1960.00
E07000119,90+,1119.00
E07000119,All ages,79770.00
E07000120,0-4,5283.00
E07000120,5-9,5504.00
E07000120,10-14,5073.00
E07000120,15-19,4601.00
E07000120,20-24,4684.00
E07000120,25-29,5241.00
E07000120,30-34,5230.00
E07000120,35-39,5044.00
E07000120,40-44,4505.00
E07000120,45-49,5600.00
E07000120,50-54,5684.00
E07000120,55-59,5103.00
E07000120,60-64,4425.00
E07000120,65-69,4238.00
E07000120,70-74,4210.00
E07000120,75-79,2736.00
E07000120,80-84,1976.00
E07000120,85-89,1088.00
E07000120,90+,590.00
E07000120,All ages,80815.00
E07000121,0-4,7402.00
E07000121,5-9,7994.00
E07000121,10-14,7427.00
E07000121,15-19,9887.00
E07000121,20-24,14457.00
E07000121,25-29,10438.00
E07000121,30-34,7393.00
E07000121,35-39,7548.00
E07000121,40-44,7139.00
E07000121,45-49,8799.00
E07000121,50-54,9667.00
E07000121,55-59,9327.00
E07000121,60-64,8062.00
E07000121,65-69,7858.00
E07000121,70-74,7693.00
E07000121,75-79,5362.00
E07000121,80-84,3978.00
E07000121,85-89,2387.00
E07000121,90+,1428.00
E07000121,All ages,144246.00
E07000122,0-4,6224.00
E07000122,5-9,6394.00
E07000122,10-14,5697.00
E07000122,15-19,5010.00
E07000122,20-24,4550.00
E07000122,25-29,5821.00
E07000122,30-34,6235.00
E07000122,35-39,6136.00
E07000122,40-44,5380.00
E07000122,45-49,5956.00
E07000122,50-54,5943.00
E07000122,55-59,5801.00
E07000122,60-64,5253.00
E07000122,65-69,5132.00
E07000122,70-74,4704.00
E07000122,75-79,2969.00
E07000122,80-84,2135.00
E07000122,85-89,1347.00
E07000122,90+,718.00
E07000122,All ages,91405.00
E07000123,0-4,9318.00
E07000123,5-9,9277.00
E07000123,10-14,8642.00
E07000123,15-19,8641.00
E07000123,20-24,13655.00
E07000123,25-29,11572.00
E07000123,30-34,9413.00
E07000123,35-39,9021.00
E07000123,40-44,7744.00
E07000123,45-49,9069.00
E07000123,50-54,9172.00
E07000123,55-59,8581.00
E07000123,60-64,6878.00
E07000123,65-69,6102.00
E07000123,70-74,5198.00
E07000123,75-79,3820.00
E07000123,80-84,3053.00
E07000123,85-89,1758.00
